Price,Flight Time,Stop over,Stop over place,Airline,Departure time,Date of flight,Destination place,Flight type,Class
4016,,Vuelo sin escalas,Stop over place not found,Aeromexico operado por Aerolitoral DBA Aeromexico Connect,16:08:00,17/01/2025,"Ciudad de Mexico, Mexico",Day flight,Economic
10870,,1 escala,4 h 48 min en TIJ,Volaris,20:36:00,17/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
10870,,1 escala,3 h 28 min en TIJ,Volaris,20:36:00,17/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
3255,,Vuelo sin escalas,Stop over place not found,Aeromexico operado por Aerolitoral DBA Aeromexico Connect,14:50:00,17/01/2025,"Tepic, Nayarit, Mexico",Day flight,Economic
9796,,1 escala,7 h 41 min en TIJ,Volaris,07:00:00,17/01/2025,"Tepic, Nayarit, Mexico",Mornig flight,Economic
11223,,1 escala,6 h 31 min en TIJ,Volaris,08:10:00,17/01/2025,"Tepic, Nayarit, Mexico",Mornig flight,Economic
3378,,Vuelo sin escalas,Stop over place not found,Aeromexico operado por Aerolitoral DBA Aeromexico Connect,16:33:00,18/01/2025,"Ciudad de Mexico, Mexico",Day flight,Economic
8026,,1 escala,3 h 28 min en TIJ,Volaris,20:36:00,18/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
8026,,1 escala,4 h 48 min en TIJ,Volaris,20:36:00,18/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
3255,,Vuelo sin escalas,Stop over place not found,Aeromexico operado por AEROLITORAL DBA AEROMEXICO CONNECT,15:00:00,18/01/2025,"Tepic, Nayarit, Mexico",Day flight,Economic
8379,,1 escala,7 h 41 min en TIJ,Volaris,07:00:00,18/01/2025,"Tepic, Nayarit, Mexico",Mornig flight,Economic
8026,,1 escala,4 h 48 min en TIJ,Volaris,20:36:00,18/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
3070,,Vuelo sin escalas,Stop over place not found,Aeromexico operado por Aerolitoral DBA Aeromexico Connect,16:23:00,19/01/2025,"Ciudad de Mexico, Mexico",Day flight,Economic
10870,,1 escala,3 h 28 min en TIJ,Volaris,20:36:00,19/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
10870,,1 escala,4 h 48 min en TIJ,Volaris,20:36:00,19/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
2856,,Vuelo sin escalas,Stop over place not found,Aeromexico operado por AEROLITORAL DBA AEROMEXICO CONNECT,14:50:00,19/01/2025,"Tepic, Nayarit, Mexico",Day flight,Economic
7276,,1 escala,7 h 41 min en TIJ,Volaris,07:00:00,19/01/2025,"Tepic, Nayarit, Mexico",Mornig flight,Economic
8379,,1 escala,6 h 31 min en TIJ,Volaris,08:10:00,19/01/2025,"Tepic, Nayarit, Mexico",Mornig flight,Economic
2954,,Vuelo sin escalas,Stop over place not found,Aeromexico operado por Aerolitoral DBA Aeromexico Connect,16:18:00,20/01/2025,"Ciudad de Mexico, Mexico",Day flight,Economic
10870,,1 escala,3 h 28 min en TIJ,Volaris,20:36:00,20/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
10870,,1 escala,4 h 48 min en TIJ,Volaris,20:36:00,20/01/2025,"Ciudad de Mexico, Mexico",Night flight,Economic
3088,,Vuelo sin escalas,Stop over place not found,Aeromexico operado por AEROLITORAL DBA AEROMEXICO CONNECT,14:50:00,20/01/2025,"Tepic, Nayarit, Mexico",Day flight,Economic
11223,,1 escala,7 h 41 min en TIJ,Volaris,07:00:00,20/01/2025,"Tepic, Nayarit, Mexico",Mornig flight,Economic
