Price,Flight time,Stop over,Stop over place,Airline,Departure time,Date of flight,Destination place,Origin place,Airline 1,Airline 2,Airline 3,Flight type,Class,Days to date,Day of week,Page,Scrapped date
"MXN$16,715",42 h 15 min,1 escala,Stop over place not found and Stop over place not found,Air Canada,07:15:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$31,710",14 h 45 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,All Nippon Airways,00:50:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$32,126",15 h 35 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,Japan Airlines operado por Aeromexico,23:45:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$17,969",36 h 15 min,1 escala,Stop over place not found and Stop over place not found,Air Canada,13:25:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$32,395",18 h 35 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,05:45:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$29,705",30 h 25 min,1 escala,Stop over place not found and Stop over place not found,Iberia,12:50:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$31,692",32 h 5 min,2 escalas,1 h 45 min en CUN and 4 h 40 min en IST,Turkish Airlines,09:35:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$31,603",29 h 50 min,1 escala,Stop over place not found and Stop over place not found,United,18:10:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$31,640",29 h 50 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples operado por United,18:10:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),United 1272,All Nippon Airways 7013 operado por United,Enchufe en el asiento,Night flight,Económica,0,Saturday,Expedia,2025-02-14
"MXN$31,603",30 h 30 min,1 escala,Stop over place not found and Stop over place not found,United,17:40:00,2025-02-15,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,0,Saturday,Expedia,2025-02-14
